check-migration-immutability: 685 sealed entries against a journal of 685 — 0 newly appended, 17 comment-only edit(s)

CHANGED after sealing — the statements differ, so a cold build and a warm database disagree:
  0372_timesheets_module  effective 15ea165dabd1 -> 061d3211e0e6
  0373_resource_grants  effective 9519e07709b7 -> b930b725e5d9
  0374_tenant_guc_helper  effective 69c1ab7de39b -> f19942ade188
  0375_rls_canary_projects  effective 5535ec379c82 -> 1515ea94addf
  0376_rls_payroll_and_pii  effective 08bc151e28c4 -> 6bde65abbe58
  0377_rls_financial  effective 64f897a523c0 -> a91414e82491
  0378_rls_remaining_tenant_tables  effective e691f5d070b3 -> 73ab10936455
  0379_drop_users_department_id  effective e9991340e6ff -> b8823adae408
  0380_rls_with_check_nullable_tenant  effective 348e55f0fe60 -> 2ec6e6729d4d
  0381_rls_read_predicate_nullable_tenant  effective f72542204ec4 -> aa0b57e70c1f
  0383_rls_org_members_identity_read  effective 95f060490eee -> 185a648c937f
  0382_drop_user_permissions  effective 5c6de37c5f6d -> aa13e84a6770
  0384_rls_public_token_read  effective 9c449f93ac94 -> 658a07c62353
  0385_intake_project_org_resolver  effective fd3385ca9ac3 -> 34a72796abb3
  0386_survey_session_org_resolver  effective ef88f19bceab -> 79d3c0e0ae3c
  0387_git_connection_org_resolver  effective e6b1bb855856 -> d25c05e5da09
  0388_drop_users_team  effective be05df2eade1 -> 8abcd495fa12
  0389_drop_users_has_dashboard_access  effective 165460a07ef8 -> 683fea48b85a
  0390_api_token_hardening  effective 518588551ffd -> db446eb0445b
  0142_tickets_fractional_rank  effective 8160b136d2ab -> b59a88b20192
  0143_timesheets_text_to_enums  effective cfb737b5c506 -> 507728afb88b
  0146_status_model_single_table  effective 12a68f67f734 -> 3b59b251014c
  0416_tickets_soft_delete_and_version  effective 2a6f45f82449 -> cae432a28fdb
  0150_analyze_after_build_rewrites  effective ceb3f148d46e -> f648e8a88836
  0151_build_soft_delete_core  effective ebd73d69fa39 -> aa064ddb8af7
  0417_email_suppressions_rls  effective 662bbb52d4ff -> 9cc3aa857955
  0418_notification_index_hygiene  effective 56aea37032db -> 008db0861cfe
  0419_notification_outbox  effective 1ba18b1c6629 -> 3250cc39e78b
  0155_roadmap_goals_soft_delete  effective 6f7ef7af4dc6 -> f03109f5421a
  0156_sprint_scope_events  effective 637fe065f90d -> fab76784bb62
  0420_delivery_snapshot_and_ttl  effective 5c0310c9b98e -> d698cf4ef955
  0158_build_temporal_types  effective d2db60ce7e51 -> d7939aadbcb3
  0159_pm_schema_gaps  effective 02db864895a8 -> e6959d1d83b2
  0160_build_soft_delete_final  effective ee37e505be68 -> d4dfa91f2532
  0421_notification_pk_widening  effective 60dd8e208192 -> eceeddbfc235
  0422_preference_rules_and_consent  effective 9e56719adea7 -> 483295825f57
  0379_legal_entities_create  effective a30fde8860cd -> e26cbd4cd372
  0379_payroll_entities_legal_entity_fk  effective f9b8ea4fae9b -> f48e068dd377
  0423_repair_schema_drift  effective 0888e2da3eaf -> 7d9d63611cca
  0379_effective_dating_convention  effective 4e8880dbb16d -> b5048a8b463e
  0424_ticket_search_index_function  effective 29056b586315 -> 3ef8bc1410e2
  0425_ticket_search_bounded  effective ca9aa932a7d8 -> 6197b592d3eb
  0426_notification_timestamptz  effective 8aa79a8999b4 -> 0526bea80434
  0170_crm_soft_delete_and_partial_indexes  effective e667275cff2f -> 9bb63a150b0d
  0426_build_identity_pks  effective 92620a67681c -> f44a15d7d090
  0427_managed_products_pk_rename  effective 3ed43febeeac -> 0069f0bcff78
  0428_feedback_dedup_merge  effective 27a6654efd49 -> 659173e7527c
  0429_digest_queue_broadcast_audience  effective de1d5ca7b65b -> b4221e0a295d
  0430_broadcast_audience_cutover  effective 2d30613e4780 -> 3c2c1f56b7c1
  0431_email_outbox_scope  effective 136da5aac790 -> c924680cec8b
  0179_curved_falcon  effective 17db4fd369ed -> 9de27db9579b
  0180_hr_kb_partial_live_indexes  effective 649c30e967a1 -> a5a8fca449e0
  0420_inv_webhook_event_subscriptions  effective 2f080fa713ad -> 40af58f05b57
